session,date,idm,srs_count,box1,box2,box3,box4,box5
1,2025-01-01,3.00,2,0,0,0,1,1
2,2025-01-02,4.50,4,1,0,0,2,1
3,2025-01-03,7.50,6,1,0,0,3,2
