session,date,idm,srs_count,box1,box2,box3,box4,box5
1,2025-01-01,3.50,2,0,0,2,0,0
2,2025-01-02,6.00,4,0,0,2,1,1
3,2025-01-03,8.50,6,0,0,2,1,3
