session,date,target_precision,idm_start,idm_end,idm_change,mean_precision,triggers_mastery,triggers_overload,triggers_none,new_intervals,total_srs_items
1,2025-01-01,0.65,2.00,1.50,-0.50,0.688,0,1,7,2,2
2,2025-01-02,0.65,1.50,1.00,-0.50,0.598,0,2,6,2,4
3,2025-01-03,0.65,1.00,1.00,0.00,0.552,0,1,7,0,4
